sample,tempo para fechamento,number,creator user cargo,creator user seguidores,creator user tempo no GitHub,closed user cargo,closed user seguidores,closed user tempo no GitHub,closed_count,open_count,framework,relative_open_count,relative_closed_count
aws-samples/amazon-lex-customerservice-workshop,223.0,6.666666666666667,,1.8333333333333333,911.1666666666666,,36.0,1387.5,6.0,0.0,AWS,0.0,100.0
aws-samples/amazon-lex-skype-integration,4.0,4.5,,2.0,556.625,,3.0,322.0,2.0,6.0,AWS,75.0,25.0
aws-samples/amazon-lex-support-bot,7.0,2.0,,0.0,613.0,,0.0,620.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-lex-twilio-integration,8.5,1.5,,0.5,797.0,,22.0,1865.0,2.0,0.0,AWS,0.0,100.0
aws-samples/amazon-location-samples,11.833333333333334,22.25,,12.0,2348.125,,439.1666666666667,4454.666666666667,6.0,2.0,AWS,25.0,75.0
aws-samples/amazon-lookout-for-metrics-samples,15.625,18.375,,6.5,1746.375,,36.75,3674.375,8.0,0.0,AWS,0.0,100.0
aws-samples/amazon-lookout-for-vision-demo,,3.0,,2.0,2602.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-managed-blockchain-cicd-sample,,1.0,,60.0,3047.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-mq-workshop,,16.0,,0.5,1011.5,,,,0.0,2.0,AWS,100.0,0.0
aws-samples/amazon-msk-client-authentication,272.0,2.0,,6.0,2632.0,,6.0,2904.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-neptune-samples,4.0,31.866666666666667,,11.133333333333333,2172.3333333333335,,77.0,1997.125,8.0,7.0,AWS,46.666666666666664,53.333333333333336
aws-samples/amazon-personalize-automated-retraining,176.0,2.0,,10.333333333333334,2528.6666666666665,,4.0,2549.0,1.0,2.0,AWS,66.66666666666666,33.33333333333333
aws-samples/amazon-personalize-samples,74.47619047619048,49.9,,14.75,1793.55,,27.19047619047619,2740.190476190476,21.0,19.0,AWS,47.5,52.5
